Clip Name, Sequence In, Sequence Out, Clip Duration, Source Reel Name, Source In, Source Out, Source Durations, Sequence Name
07NG15637_0000.mp4, 00:00:00:04, 00:00:16:17, 00:00:16:14, Nat Geo, 01:02:14:09, 01:02:28:02, 00:00:16;16, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1007600260-640_adpp.mp4, 00:00:16:18, 00:00:20:07, 00:00:03:15, Getty, 01:04:21:29, 01:04:29:20, 00:00:03:18, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1054579066-640_adpp.mp4, 00:00:20:08, 00:00:27:07, 00:00:07:00, Getty, 01:33:34:20, 01:33:38:16, 00:00:07:00, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:27:08, 00:00:36:14, 00:00:09:07, Nat Geo, 01:33:10:00, 01:33:11:22, 00:00:09;08, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:36:15, 00:00:41:06, 00:00:04:17, Nat Geo, 01:33:14:12, 01:33:55:21, 00:00:04;20, Wildbear_Timecode_Troubleshooting_Preview.mp4
gettyimages-1054580344-640_adpp.mp4, 00:00:41:07, 00:00:42:24, 00:00:01:18, Getty, 01:13:05:11, 01:13:12:25, 00:00:01:43, Wildbear_Timecode_Troubleshooting_Preview.mp4
07NG15637_0000.mp4, 00:00:43:00, 00:00:45:02, 00:00:02:03, Nat Geo, 01:15:09:24, 01:15:17:11, 00:00:02;03, Wildbear_Timecode_Troubleshooting_Preview.mp4
